ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
3606,8,E07000129,0,49.74,227.63,18.64,247.88
6540,9,E07000129,1,51.68,136.63,25.84,148.56
6866,9,E07000129,2,61.83,156.51,25.84,171.11
7192,9,E07000129,3,68.28,187.02,25.84,202.95
7518,9,E07000129,4,75.67,253.36,25.84,275.9
7844,10,E07000129,0,51.82,560.11,18.64,612.24
21,1,E06000008,1,51.68,93.39,25.84,116.72
347,1,E06000008,2,59.06,107.19,25.84,134.77
673,1,E06000008,3,65.51,119.9,25.84,145.37
999,1,E06000008,4,71.98,133.71,25.84,159.17
2629,2,E06000008,0,55.97,239.54,18.64,342.01
1325,3,E06000008,1,43.36,85.94,25.84,100.81
1651,3,E06000008,2,53.52,94.47,25.84,113.53
1977,3,E06000008,3,58.13,105.06,25.84,124.15
2303,3,E06000008,4,55.37,118.85,25.84,133.71
2955,4,E06000008,0,33.16,469.54,18.64,599.44
4353,5,E06000008,1,51.68,102.94,25.84,112.47
4923,5,E06000008,2,59.06,109.29,25.84,118.85
5566,5,E06000008,3,65.51,130.52,25.84,143.25
6314,5,E06000008,4,71.98,170.85,25.84,185.7
3281,6,E06000008,0,55.97,191.88,18.64,208.55
4465,7,E06000008,1,43.36,102.94,25.84,112.47
5061,7,E06000008,2,53.52,109.29,25.84,118.85
5741,7,E06000008,3,58.13,130.52,25.84,143.25
6365,7,E06000008,4,55.37,170.85,25.84,185.7
3607,8,E06000008,0,33.16,191.88,18.64,208.55
6541,9,E06000008,1,51.68,128.67,25.84,140.6
6867,9,E06000008,2,59.06,136.63,25.84,148.56
7193,9,E06000008,3,65.51,163.15,25.84,179.06
7519,9,E06000008,4,71.98,213.57,25.84,232.15
7845,10,E06000008,0,55.97,269.62,18.64,294.95
22,1,E06000009,1,51.68,93.39,25.84,116.72
348,1,E06000009,2,59.06,107.19,25.84,134.77
674,1,E06000009,3,65.51,119.9,25.84,145.37
1000,1,E06000009,4,71.98,133.71,25.84,159.17
2630,2,E06000009,0,55.97,239.54,18.64,342.01
1326,3,E06000009,1,43.36,85.94,25.84,100.81
1652,3,E06000009,2,53.52,94.47,25.84,113.53
1978,3,E06000009,3,58.13,105.06,25.84,124.15
2304,3,E06000009,4,55.37,118.85,25.84,133.71
2956,4,E06000009,0,33.16,469.54,18.64,599.44
4354,5,E06000009,1,51.68,98.69,25.84,109.29
4924,5,E06000009,2,59.06,125.22,25.84,136.89
5567,5,E06000009,3,65.51,143.25,25.84,155.98
6315,5,E06000009,4,71.98,181.46,25.84,198.45
3282,6,E06000009,0,55.97,203.78,18.64,222.84
4466,7,E06000009,1,43.36,98.69,25.84,109.29
5062,7,E06000009,2,53.52,125.22,25.84,136.89
5742,7,E06000009,3,58.13,143.25,25.84,155.98
6366,7,E06000009,4,55.37,181.46,25.84,198.45
3608,8,E06000009,0,33.16,203.78,18.64,222.84
6542,9,E06000009,1,51.68,123.35,25.84,136.63
6868,9,E06000009,2,59.06,156.51,25.84,171.11
7194,9,E06000009,3,65.51,179.06,25.84,194.98
7520,9,E06000009,4,71.98,226.84,25.84,248.03
7846,10,E06000009,0,55.97,300.91,18.64,329.21
23,1,E07000033,1,51.68,99.75,25.84,122.03
349,1,E07000033,2,61.83,114.6,25.84,129.46
675,1,E07000033,3,68.28,126.28,25.84,137.95
1001,1,E07000033,4,75.67,158.1,25.84,166.61
2631,2,E07000033,0,51.82,240.72,18.64,361.1
1327,3,E07000033,1,46.13,90.21,25.84,107.19
1653,3,E07000033,2,52.6,96.56,25.84,108.24
1979,3,E07000033,3,58.13,104,25.84,118.85
2305,3,E07000033,4,63.67,122.03,25.84,122.03
2957,4,E07000033,0,49.74,114.39,18.64,123.94
4315,5,E07000033,1,51.68,90.21,25.84,97.63
5011,5,E07000033,2,61.83,102.94,25.84,112.47
5654,5,E07000033,3,68.28,119.9,25.84,130.52
6229,5,E07000033,4,75.67,170.85,25.84,185.7
3283,6,E07000033,0,51.82,191.88,18.64,208.55
4415,7,E07000033,1,46.13,90.21,25.84,97.63
5151,7,E07000033,2,52.6,102.94,25.84,112.47
5812,7,E07000033,3,58.13,119.9,25.84,130.52
